"customername","recency","frequency","monetary","r_score","f_score","m_score","rfm_score","rfm_total_score","customer_segment"
"Royale Belge",142,"4","33440.10",4,5,1,"451",10,"Loyal Customers"
"Collectables For Less Inc.",132,"3","81577.98",4,3,3,"433",10,"Loyal Customers"
"Oulu Toy Supplies, Inc.",121,"3","104370.38",4,4,4,"444",12,"Champions"
"Australian Gift Network, Co",119,"3","59469.12",4,3,2,"432",9,"Loyal Customers"
"La Rochelle Gifts",118,"3","136340.21",4,4,5,"445",13,"Champions"
"Boards & Toys Co.",113,"2","9129.35",4,2,1,"421",7,"Recent Customers"
"Toys of Finland, Co.",112,"3","111250.38",4,4,4,"444",12,"Champions"
"Corporate Gift Ideas Co.",98,"4","149882.50",4,5,5,"455",14,"Champions"
"Dragon Souveniers, Ltd.",91,"5","172989.68",4,5,5,"455",14,"Champions"
"FunGiftIdeas.com",90,"3","98923.73",4,2,4,"424",10,"Recent Customers"
"Scandinavian Gift Ideas",90,"2","85548.41",5,1,3,"513",9,"Recent Customers"
"Anna's Decorations, Ltd",84,"4","153996.13",5,5,5,"555",15,"Champions"
"Mini Auto Werke",83,"2","23713.31",5,1,1,"511",7,"Recent Customers"
"Lyon Souveniers",76,"3","78570.34",5,3,3,"533",11,"Loyal Customers"
"Mini Gifts Distributors Ltd.",70,"16","647596.31",5,5,5,"555",15,"Champions"
"Alpha Cognac",65,"3","70488.44",5,3,2,"532",10,"Loyal Customers"
"Reims Collectables",63,"5","135042.94",5,5,5,"555",15,"Champions"
"The Sharp Gifts Warehouse",61,"3","102127.18",5,4,4,"544",13,"Champions"
"Auto Canal Petit",55,"3","93170.66",5,4,3,"543",12,"Loyal Customers"
"UK Collectables, Ltd.",54,"2","67600.02",5,2,2,"522",9,"Recent Customers"
"Mini Caravy",48,"3","80438.48",5,3,3,"533",11,"Loyal Customers"
"Tokyo Collectables, Ltd",40,"4","120562.74",5,5,5,"555",15,"Champions"
"Handji Gifts& Co",39,"4","115498.73",5,5,4,"554",14,"Champions"
"Quebec Home Shopping Network",31,"3","74204.79",5,3,2,"532",10,"Loyal Customers"
"Euro Shopping Channel",29,"22","741512.50",5,5,5,"555",15,"Champions"
"Gift Depot Inc.",27,"3","101894.79",5,4,4,"544",13,"Champions"
"L'ordine Souveniers",22,"3","142601.33",5,5,5,"555",15,"Champions"
"Salzburg Collectables",15,"4","149798.63",5,5,5,"555",15,"Champions"
